variable,planned,charged,TaskID,TaskName
2017-04,143,143,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,186,186,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,0,0,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,3,3,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,117.4,117.4,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,18.216,18.216,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,156,156,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,152,152,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,152,152,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,96,96,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,87,87,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,121,121,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,150.4,150.4,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,74,74,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,122,122,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,149,149,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,147,147,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,0,0,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,169,169,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,165,165,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,20,20,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,49.632,49.632,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,3,3,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,165,165,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,159,159,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,80,80,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,170,170,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,75,75,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,150,150,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,120.32,120.32,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,170,170,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,0,0,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,190,190,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,0,0,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,161,161,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,116,116,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,20,20,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,6,6,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,0,0,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,148,148,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,146,146,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,75,75,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,150,150,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,152,152,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,160,160,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,180,180,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,57,57,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,152,152,103028.000.410.00,BioWatch SETA_Labor OP4
2017-04,47,47,103053.000.001.00,CMCU SME SUPPORT - LABOR
2017-04,0,0,103053.000.001.00,CMCU SME SUPPORT - LABOR
2017-04,147.9099678,147.9099678,103053.000.001.00,CMCU SME SUPPORT - LABOR
2017-04,147.9099678,147.9099678,103053.000.001.00,CMCU SME SUPPORT - LABOR
2017-04,147.9099678,147.9099678,103053.000.001.00,CMCU SME SUPPORT - LABOR
2017-04,0,0,103053.000.001.00,CMCU SME SUPPORT - LABOR
2017-04,0,0,103032.000.200.00,LLCIP OY2 PARENT
2017-04,68.5,68.5,103032.000.200.00,LLCIP OY2 PARENT
2017-04,0,0,103032.000.200.00,LLCIP OY2 PARENT
2017-04,9,9,103032.000.200.00,LLCIP OY2 PARENT
2017-04,0,0,103032.000.200.00,LLCIP OY2 PARENT
2017-04,35.5,35.5,103032.000.200.00,LLCIP OY2 PARENT
2017-04,4.5,4.5,103032.000.200.00,LLCIP OY2 PARENT
2017-04,0,0,103032.000.200.00,LLCIP OY2 PARENT
2017-04,0,0,103032.000.200.00,LLCIP OY2 PARENT
2017-04,0,0,103032.000.200.00,LLCIP OY2 PARENT
2017-04,40.5,40.5,103032.000.200.00,LLCIP OY2 PARENT
2017-04,80,80,103032.000.200.00,LLCIP OY2 PARENT
2017-04,80,80,103032.000.200.00,LLCIP OY2 PARENT
2017-04,51.1,51.1,103032.000.200.00,LLCIP OY2 PARENT
2017-04,80,80,103032.000.200.00,LLCIP OY2 PARENT
2017-04,13,13,103032.000.200.00,LLCIP OY2 PARENT
2017-04,0,0,103032.000.200.00,LLCIP OY2 PARENT
2017-04,160,160,103036.000.200.00,NPPD STRAT OY2 PARENT
2017-04,160,160,103036.000.200.00,NPPD STRAT OY2 PARENT
2017-04,160,160,103036.000.200.00,NPPD STRAT OY2 PARENT
2017-04,160,160,103036.000.200.00,NPPD STRAT OY2 PARENT
2017-04,160,160,103036.000.200.00,NPPD STRAT OY2 PARENT
2017-04,16,16,103036.000.200.00,NPPD STRAT OY2 PARENT
2017-04,2,2,103036.000.200.00,NPPD STRAT OY2 PARENT
2017-04,10,10,103036.000.200.00,NPPD STRAT OY2 PARENT
2017-04,48,48,103045.000.001.00,QTO8 CTO SUPPORT
2017-04,148,148,103045.000.001.00,QTO8 CTO SUPPORT
2017-04,64,64,103045.000.001.00,QTO8 CTO SUPPORT
2017-04,2,2,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,64,64,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,144,144,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,80,80,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,96,96,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,144,144,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,32,32,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,24,24,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,80,80,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,0,0,103047.000.001.00,QTO10 EAD SUPPORT LABOR
2017-04,160,160,GENADM.LABOR,G&A Labor
2017-04,160,160,P0BIDP.000.000.00,General BD Activities
2017-04,160,160,P0BIDP.000.000.00,General BD Activities
2017-04,160,160,OVERHD.CMPNY.LBR,HWC OH Labor
2017-04,48,48,GENADM.LABOR,G&A Labor
2017-04,48,48,GENADM.LABOR,G&A Labor
2017-04,32,32,OVERHD.CMPNY.LBR,HWC OH Labor
